Weeks,Date
2014EW37,9/8/14
2014EW37,9/9/14
2014EW37,9/10/14
2014EW37,9/11/14
2014EW37,9/12/14
2014EW37,9/13/14
2014EW38,9/14/14
2014EW38,9/15/14
2014EW38,9/16/14
2014EW38,9/17/14
2014EW38,9/18/14
2014EW38,9/19/14
2014EW38,9/20/14
2014EW39,9/21/14
2014EW39,9/22/14
2014EW39,9/23/14
2014EW39,9/24/14
2014EW39,9/25/14
2014EW39,9/26/14
2014EW39,9/27/14
2014EW40,9/28/14
2014EW40,9/29/14
2014EW40,9/30/14
2014EW40,10/1/14
2014EW40,10/2/14
2014EW40,10/3/14
2014EW40,10/4/14
2014EW41,10/5/14
2014EW41,10/6/14
2014EW41,10/7/14
2014EW41,10/8/14
2014EW41,10/9/14
2014EW41,10/10/14
2014EW41,10/11/14
2014EW42,10/12/14
2014EW42,10/13/14
2014EW42,10/14/14
2014EW42,10/15/14
2014EW42,10/16/14
2014EW42,10/17/14
2014EW42,10/18/14
2014EW43,10/19/14
2014EW43,10/20/14
2014EW43,10/21/14
2014EW43,10/22/14
2014EW43,10/23/14
2014EW43,10/24/14
2014EW43,10/25/14
2014EW44,10/26/14
2014EW44,10/27/14
2014EW44,10/28/14
2014EW44,10/29/14
2014EW44,10/30/14
2014EW44,10/31/14
2014EW44,11/1/14
2014EW45,11/2/14
2014EW45,11/3/14
2014EW45,11/4/14
2014EW45,11/5/14
2014EW45,11/6/14
2014EW45,11/7/14
2014EW45,11/8/14
2014EW46,11/9/14
2014EW46,11/10/14
2014EW46,11/11/14
2014EW46,11/12/14
2014EW46,11/13/14
2014EW46,11/14/14
2014EW46,11/15/14
2014EW47,11/16/14
2014EW47,11/17/14
2014EW47,11/18/14
2014EW47,11/19/14
2014EW47,11/20/14
2014EW47,11/21/14
2014EW47,11/22/14
2014EW48,11/23/14
2014EW48,11/24/14
2014EW48,11/25/14
2014EW48,11/26/14
2014EW48,11/27/14
2014EW48,11/28/14
2014EW48,11/29/14
2014EW49,11/30/14
2014EW49,12/1/14
2014EW49,12/2/14
2014EW49,12/3/14
2014EW49,12/4/14
2014EW49,12/5/14
2014EW49,12/6/14
2014EW50,12/7/14
2014EW50,12/8/14
2014EW50,12/9/14
2014EW50,12/10/14
2014EW50,12/11/14
2014EW50,12/12/14
2014EW50,12/13/14
2014EW51,12/14/14
2014EW51,12/15/14
2014EW51,12/16/14
2014EW51,12/17/14
2014EW51,12/18/14
2014EW51,12/19/14
2014EW51,12/20/14
2014EW52,12/21/14
2014EW52,12/22/14
2014EW52,12/23/14
2014EW52,12/24/14
2014EW52,12/25/14
2014EW52,12/26/14
2014EW52,12/27/14
2014EW53,12/28/14
2014EW53,12/29/14
2014EW53,12/30/14
2014EW53,12/31/14
2014EW53,1/1/15
2014EW53,1/2/15
2014EW53,1/3/15
2015EW01,1/4/15
2015EW01,1/5/15
2015EW01,1/6/15
2015EW01,1/7/15
2015EW01,1/8/15
2015EW01,1/9/15
2015EW01,1/10/15
2015EW02,1/11/15
2015EW02,1/12/15
2015EW02,1/13/15
2015EW02,1/14/15
2015EW02,1/15/15
2015EW02,1/16/15
2015EW02,1/17/15
2015EW03,1/18/15
2015EW03,1/19/15
2015EW03,1/20/15
2015EW03,1/21/15
2015EW03,1/22/15
2015EW03,1/23/15
2015EW03,1/24/15
2015EW04,1/25/15
2015EW04,1/26/15
2015EW04,1/27/15
2015EW04,1/28/15
2015EW04,1/29/15
2015EW04,1/30/15
2015EW04,1/31/15
2015EW05,2/1/15
2015EW05,2/2/15
2015EW05,2/3/15
2015EW05,2/4/15
2015EW05,2/5/15
2015EW05,2/6/15
2015EW05,2/7/15
2015EW06,2/8/15
2015EW06,2/9/15
2015EW06,2/10/15
2015EW06,2/11/15
2015EW06,2/12/15
2015EW06,2/13/15
2015EW06,2/14/15
2015EW07,2/15/15
2015EW07,2/16/15
2015EW07,2/17/15
2015EW07,2/18/15
2015EW07,2/19/15
2015EW07,2/20/15
2015EW07,2/21/15
2015EW08,2/22/15
2015EW08,2/23/15
2015EW08,2/24/15
2015EW08,2/25/15
2015EW08,2/26/15
2015EW08,2/27/15
2015EW08,2/28/15
2015EW09,3/1/15
2015EW09,3/2/15
2015EW09,3/3/15
2015EW09,3/4/15
2015EW09,3/5/15
2015EW09,3/6/15
2015EW09,3/7/15
2015EW10,3/8/15
2015EW10,3/9/15
2015EW10,3/10/15
2015EW10,3/11/15
2015EW10,3/12/15
2015EW10,3/13/15
2015EW10,3/14/15
2015EW11,3/15/15
2015EW11,3/16/15
2015EW11,3/17/15
2015EW11,3/18/15
2015EW11,3/19/15
2015EW11,3/20/15
2015EW11,3/21/15
2015EW12,3/22/15
2015EW12,3/23/15
2015EW12,3/24/15
2015EW12,3/25/15
2015EW12,3/26/15
2015EW12,3/27/15
2015EW12,3/28/15
2015EW13,3/29/15
2015EW13,3/30/15
2015EW13,3/31/15
2015EW13,4/1/15
2015EW13,4/2/15
2015EW13,4/3/15
2015EW13,4/4/15
2015EW14,4/5/15
2015EW14,4/6/15
2015EW14,4/7/15
2015EW14,4/8/15
2015EW14,4/9/15
2015EW14,4/10/15
2015EW14,4/11/15
2015EW15,4/12/15
2015EW15,4/13/15
2015EW15,4/14/15
2015EW15,4/15/15
2015EW15,4/16/15
2015EW15,4/17/15
2015EW15,4/18/15
2015EW16,4/19/15
2015EW16,4/20/15
2015EW16,4/21/15
2015EW16,4/22/15
2015EW16,4/23/15
2015EW16,4/24/15
2015EW16,4/25/15
2015EW17,4/26/15
2015EW17,4/27/15
2015EW17,4/28/15
2015EW17,4/29/15
2015EW17,4/30/15
2015EW17,5/1/15
2015EW17,5/2/15
2015EW18,5/3/15
2015EW18,5/4/15
2015EW18,5/5/15
2015EW18,5/6/15
2015EW18,5/7/15
2015EW18,5/8/15
2015EW18,5/9/15
2015EW19,5/10/15
2015EW19,5/11/15
2015EW19,5/12/15
2015EW19,5/13/15
2015EW19,5/14/15
2015EW19,5/15/15
2015EW19,5/16/15
2015EW20,5/17/15
2015EW20,5/18/15
2015EW20,5/19/15
2015EW20,5/20/15
2015EW20,5/21/15
2015EW20,5/22/15
2015EW20,5/23/15
2015EW21,5/24/15
2015EW21,5/25/15
2015EW21,5/26/15
2015EW21,5/27/15
2015EW21,5/28/15
2015EW21,5/29/15
2015EW21,5/30/15
2015EW22,5/31/15
2015EW22,6/1/15
2015EW22,6/2/15
2015EW22,6/3/15
2015EW22,6/4/15
2015EW22,6/5/15
2015EW22,6/6/15
2015EW23,6/7/15
2015EW23,6/8/15
2015EW23,6/9/15
2015EW23,6/10/15
2015EW23,6/11/15
2015EW23,6/12/15
2015EW23,6/13/15
2015EW24,6/14/15
2015EW24,6/15/15
2015EW24,6/16/15
2015EW24,6/17/15
2015EW24,6/18/15
2015EW24,6/19/15
2015EW24,6/20/15
2015EW25,6/21/15
2015EW25,6/22/15
2015EW25,6/23/15
2015EW25,6/24/15
2015EW25,6/25/15
2015EW25,6/26/15
2015EW25,6/27/15
2015EW26,6/28/15
2015EW26,6/29/15
2015EW26,6/30/15
2015EW26,7/1/15
2015EW26,7/2/15
2015EW26,7/3/15
2015EW26,7/4/15
2015EW27,7/5/15
2015EW27,7/6/15
2015EW27,7/7/15
2015EW27,7/8/15
2015EW27,7/9/15
2015EW27,7/10/15
2015EW27,7/11/15
2015EW28,7/12/15
2015EW28,7/13/15
2015EW28,7/14/15
2015EW28,7/15/15
2015EW28,7/16/15
2015EW28,7/17/15
2015EW28,7/18/15
2015EW29,7/19/15
2015EW29,7/20/15
2015EW29,7/21/15
2015EW29,7/22/15
2015EW29,7/23/15
2015EW29,7/24/15
2015EW29,7/25/15
2015EW30,7/26/15
2015EW30,7/27/15
2015EW30,7/28/15
2015EW30,7/29/15
2015EW30,7/30/15
2015EW30,7/31/15
2015EW30,8/1/15
2015EW31,8/2/15
2015EW31,8/3/15
2015EW31,8/4/15
2015EW31,8/5/15
2015EW31,8/6/15
2015EW31,8/7/15
2015EW31,8/8/15
2015EW32,8/9/15
2015EW32,8/10/15
2015EW32,8/11/15
2015EW32,8/12/15
2015EW32,8/13/15
2015EW32,8/14/15
2015EW32,8/15/15
2015EW33,8/16/15
2015EW33,8/17/15
2015EW33,8/18/15
2015EW33,8/19/15
2015EW33,8/20/15
2015EW33,8/21/15
2015EW33,8/22/15
2015EW34,8/23/15
2015EW34,8/24/15
2015EW34,8/25/15
2015EW34,8/26/15
2015EW34,8/27/15
2015EW34,8/28/15
2015EW34,8/29/15
2015EW35,8/30/15
2015EW35,8/31/15
2015EW35,9/1/15
2015EW35,9/2/15
2015EW35,9/3/15
2015EW35,9/4/15
2015EW35,9/5/15
2015EW36,9/6/15
2015EW36,9/7/15
2015EW36,9/8/15
2015EW36,9/9/15
2015EW36,9/10/15
2015EW36,9/11/15
2015EW36,9/12/15
2015EW37,9/13/15
2015EW37,9/14/15
2015EW37,9/15/15
2015EW37,9/16/15
2015EW37,9/17/15
2015EW37,9/18/15
2015EW37,9/19/15
2015EW38,9/20/15
2015EW38,9/21/15
2015EW38,9/22/15
2015EW38,9/23/15
2015EW38,9/24/15
2015EW38,9/25/15
2015EW38,9/26/15
2015EW39,9/27/15
2015EW39,9/28/15
2015EW39,9/29/15
2015EW39,9/30/15
2015EW39,10/1/15
2015EW39,10/2/15
2015EW39,10/3/15
2015EW40,10/4/15
2015EW40,10/5/15
2015EW40,10/6/15
2015EW40,10/7/15
2015EW40,10/8/15
2015EW40,10/9/15
2015EW40,10/10/15
2015EW41,10/11/15
2015EW41,10/12/15
2015EW41,10/13/15
2015EW41,10/14/15
2015EW41,10/15/15
2015EW41,10/16/15
2015EW41,10/17/15
2015EW42,10/18/15
2015EW42,10/19/15
2015EW42,10/20/15
2015EW42,10/21/15
2015EW42,10/22/15
2015EW42,10/23/15
2015EW42,10/24/15
2015EW43,10/25/15
2015EW43,10/26/15
2015EW43,10/27/15
2015EW43,10/28/15
2015EW43,10/29/15
2015EW43,10/30/15
2015EW43,10/31/15
2015EW44,11/1/15
2015EW44,11/2/15
2015EW44,11/3/15
2015EW44,11/4/15
2015EW44,11/5/15
2015EW44,11/6/15
2015EW44,11/7/15
2015EW45,11/8/15
2015EW45,11/9/15
2015EW45,11/10/15
2015EW45,11/11/15
2015EW45,11/12/15
2015EW45,11/13/15
2015EW45,11/14/15
2015EW46,11/15/15
2015EW46,11/16/15
2015EW46,11/17/15
2015EW46,11/18/15
2015EW46,11/19/15
2015EW46,11/20/15
2015EW46,11/21/15
2015EW47,11/22/15
2015EW47,11/23/15
2015EW47,11/24/15
2015EW47,11/25/15
2015EW47,11/26/15
2015EW47,11/27/15
2015EW47,11/28/15
2015EW48,11/29/15
2015EW48,11/30/15
2015EW48,12/1/15
2015EW48,12/2/15
2015EW48,12/3/15
2015EW48,12/4/15
2015EW48,12/5/15
